ID,Topic,Test 3
1,good_facility,"new, no_evident_not_new, comfortable, no_evident_not_comfortable"
2,bad_facility,"pleasant, have_evident_unpleasant, not_big, have_evident_too_small"
2,good_facility,"cozy, no_evident_not_cozy, not_big, no_evident_not_not_big"
53,good_facility,"nice_no_evident_not_nice, renovated_hotel_no_evident_not_renovated_hotel"
63,good_facility,"high, no_evident_not_high, 4_standard, no_evident_not_4_standard"
66,good_facility,"the_entrance, is_welcoming, no_evident_not_the_entrance, no_evident_not_is_welcoming"
69,good_facility,"the_place_is_lovely, no_evident_not_the_place_is_lovely, the_people_are_lovely, no_evident_not_the_people_are_lovely"
70,good_facility,"peaceful, clean, no_evident_not_peaceful, no_evident_not_clean"
76,good_facility,"new, no_evident_not_new, clean, no_evident_not_clean"
80,good_facility,"it_is_a_new_hotel, no_evident_not_it_is_a_new_hotel, everything_was_clean, no_evident_not_everything_was_clean"
81,bad_facility,"no_24_hour_reception, have_evident_24_hour_reception, not_easy_to_access_entry_at_odd_hours, have_evident_easy_access_at_odd_hours"
84,bad_facility,"no_pool, have_evident_no_pool"
84,good_facility,"everything_was_spotless_clean_everywhere_too, had_plenty_of_chairs_to_sit_on_outside_in_the_garden_which_also_was_spotlessly_clean_everywhere_too, no_evident_not_everything_was_spotless_clean_everywhere_too, no_evident_not_had_plenty_of_chairs_to_sit_on_outside_in_the_garden_which_also_was_spotlessly_clean_everywhere_too, this_format_adheres_to_your_conditions, ensuring_each_support_is_a_concise_phrase_without_adjectives_or_adverbs_and_each_contrary_starts_with_no_evident_not_followed_by_the_same_word_as_the_support"
86,good_facility,"lovely_little_hotel, friendly_staff, no_evident_not_lovely_little_hotel, no_evident_not_friendly_staff"
88,good_facility,"clean, comfortable, little, no_evident_not_clean, no_evident_not_comfortable, no_evident_not_little"
90,bad_facility,"parking_is_not_always_easy, have_evident_parking_is_not_always_easy"
94,good_facility,"modern, facility, no_evident_not_modern, no_evident_not_facility"
98,good_facility,"the_hotel_is_nice, no_evident_not_nice, the_hotel_is_spacious, no_evident_not_spacious, the_hotel_is_clean, no_evident_not_clean, the_hotel_is_modern, no_evident_not_modern, this_list_provides_each_support_followed_by_its_corresponding_contrary, all_within_a_single_section_without_additional_assumptions_or_claims"
109,good_facility,"clean, no_evident_not_clean, efficient, no_evident_not_efficient, well_maintained, no_evident_not_well_maintained, spacious, no_evident_not_spacious, modern, no_evident_not_modern, friendly_staff, no_evident_not_friendly_staff, good_location, no_evident_not_good_location, clean_rooms, no_evident_not_clean_rooms"
110,good_facility,"building_is_refurbed, no_evident_not_building_is_refurbed, comfortable, no_evident_not_comfortable"
112,good_facility,"recently, no_evident_not_recently, refurbished, no_evident_not_refurbished"
114,bad_facility,"no_pool_available, have_evident_no_pool_available, no_swimming_area, have_evident_no_swimming_area, lack_of_a_recreational_space, have_evident_lack_of_a_recreational_space, each_argument_highlights_different_aspects_related_to_the_absence_of_a_pool, contributing_to_the_overall_claim_that_the_facility_is_bad"
114,good_facility,"clean, no_evident_not_clean, this_structure_adheres_to_the_specified_conditions_by_using_exact_vocabulary, concise_supports, and_appropriate_contraries_in_a_single_list_format"
123,good_facility,"nice, no_evident_not_nice, simple, no_evident_not_simple"
130,good_facility,"hotel_allowed, no_evident_not_hotel_allowed, stay_with_animals, no_evident_not_stay_with_animals, this_list_adheres_to_all_specified_conditions, including_using_exact_words_from_the_original_text_and_ensuring_each_contrary_starts_with_no_evident_not"
133,bad_facility,"pool, have_evident_no_pool"
134,good_facility,"lovely, no_evident_not_lovely, clean, no_evident_not_clean"
135,good_facility,"modern, clean, accommodation, no_evident_not_modern, no_evident_not_clean, no_evident_not_accommodation"
136,bad_facility,"dirty_contrary_have_evident_it_is_not_dirty, ugly_contrary_have_evident_it_is_not_ugly, horrible_contrary_have_evident_it_is_not_horrible"
136,good_facility,"clean, beautiful, no_evident_not_clean, no_evident_not_beautiful"
139,bad_facility,"elevator, have_evident_problems, slow, have_evident_issues"
141,good_facility,"fantastic, no_evident_not_fantastic, hotel, no_evident_not_hotel"
149,bad_facility,"does_not_have_clean_rooms_have_evident_clean_rooms, is_poorly_maintained_have_evident_well_maintained, appears_outdated_have_evident_up_to_date, seems_unclean_have_evident_clean"
150,bad_facility,"no_kiosk, have_evident_no_kiosk"
150,good_facility,"new, no_evident_not_new, beautiful, no_evident_not_beautiful, clean, no_evident_not_clean"
155,good_facility,"comfortable_no_evident_not_comfortable, clean_no_evident_not_clean, brand_new_no_evident_not_brand_new, full_equipped_no_evident_not_full_equipped, wonderful_no_evident_not_wonderful, nice_no_evident_not_nice"
158,good_facility,"clean, service_fantastic, no_evident_not_clean, no_evident_not_service_fantastic"
160,good_facility,"hotel, no_evident_not_hotel"
162,good_facility,"the_hotel_was_amazing, no_evident_not_amazing, this_response_adheres_to_the_specified_conditions_by_providing_a_single_support_statement_and_its_corresponding_contrary"
164,good_facility,"well_run, establishment, no_evident_not_well_run, no_evident_not_establishment"
167,good_facility,"clean, no_evident_not_clean"
169,good_facility,"accommodation_is_good, no_evident_not_accommodation_is_good, clean, no_evident_not_clean, quiet, no_evident_not_quiet"
171,bad_facility,"no, have_evident_parking_spot"
172,good_facility,"everything, no_evident_not_everything, clean, no_evident_not_clean"
183,good_facility,"clean, no_evident_not_clean"
190,good_facility,"modern, no_evident_not_modern, contemporary, no_evident_not_contemporary"
212,good_facility,"beautiful, no_evident_not_beautiful"
216,good_facility,"new, no_evident_not_new"
221,good_facility,"food, drink, bar, welcome, no_evident_not_food, no_evident_not_drink, no_evident_not_bar, no_evident_not_welcome"
222,good_facility,"clean_no_evident_not_clean, nice_no_evident_not_nice"
224,bad_facility,"always, have_evident_parking_in_the_area_is_not_always_convenient, possible, have_evident_parking_in_the_area_is_always_possible_but_it_s_not_necessarily_convenient, not, have_evident_parking_in_the_area_is_not_always_possible, necessarily, have_evident_parking_in_the_area_is_necessarily_not_convenient, convenient, this_structure_ensures_each_support_is_paired_with_a_contrary_statement, maintaining_clarity_and_adherence_to_the_given_conditions"
224,good_facility,"no_complaints, no_evident_not_related_to_the_hotel_s_quality, no_complaints_about_the_hotel, each_argument_is_paired_with_its_contrary, using_exact_vocabulary_and_structured_as_per_aba_requirements"
226,bad_facility,"veranda_door_and_main_door_don_t_close_entirely_tight, main_door_slams_in_the_night_when_it_s_windy, fixable_in_macgyver_way_using_bed_cover_and_a_tea_spoon, professional_seal_would_be_a_better_fix_long_term, beach_towel_services_would_have_been_nice, have_evident_veranda_door_and_main_door_do_close_entirely_tight, have_evident_main_door_doesn_t_slam_in_the_night_when_it_s_windy, have_evident_fix_not_possible_with_macgyver_way_using_bed_cover_and_a_tea_spoon, have_evident_professional_seal_isn_t_a_better_fix_long_term, have_evident_beach_towel_services_wouldn_t_have_been_nice, this_format_ensures_each_argument_is_presented_with_its_corresponding_counter_argument, adhering_to_the_specified_conditions"
227,good_facility,"clean, no_evident_not_clean, fresh, no_evident_not_fresh"
233,good_facility,"beautiful, no_evident_not_beautiful, super_clean, no_evident_not_super_clean"
236,good_facility,"modern, no_evident_not_modern, good_facilities, no_evident_not_good_facilities"
239,bad_facility,"step, have_evident_safety_strip_on_each_step, floor, have_evident_safety_strip_on_each_floor, stairs, have_evident_safety_strip_on_each_stair, have_evident_step, have_evident_do_not_have_evident_safety_strip_on_each_step, have_evident_floor, have_evident_do_not_have_evident_safety_strip_on_each_floor, have_evident_stairs, have_evident_do_not_have_evident_safety_strip_on_each_stair"
243,good_facility,"very_modern, no_evident_not_very_modern, clean, no_evident_not_clean, beautifully_kept, no_evident_not_beautifully_kept"
245,good_facility,"extremely_happy, no_evident_not_extremely_happy"
246,good_facility,"the_hotel_is_small, no_evident_not_small"
250,good_facility,"the_rooms_were_lovely, no_evident_not_lovely, the_lobby_was_modern, no_evident_not_modern, the_restaurant_was_comfortable, no_evident_not_comfortable"
252,good_facility,"clean, new, no_evident_not_clean, no_evident_not_new"
254,good_facility,"new, family_run, no_evident_not_new, no_evident_not_family_run"
255,good_facility,"cozy, modern, clean, close, no_evident_not_cozy, no_evident_not_modern, no_evident_not_clean, no_evident_not_close"
257,good_facility,"new, no_evident_not_new, clean, no_evident_not_clean"
258,good_facility,"accommodation, no_evident_not_accommodation, great, no_evident_not_great"
261,good_facility,"clean, cozy, no_evident_not_clean, no_evident_not_cozy"
267,good_facility,"basic, no_evident_not_basic, clean, no_evident_not_clean, comfortable, no_evident_not_comfortable"
268,good_facility,"refurbished, no_evident_not_refurbished, recently, no_evident_not_recently"
270,good_facility,"easy, no_evident_not_easy, this_structure_adheres_to_the_conditions_specified_it_uses_short_words_without_adjectives_or_unnecessary_adverbs, incorporates_exact_vocabulary_from_the_original_text, adds_a_contrary_for_each_support_as_required, and_maintains_clarity_without_introducing_assumptions"
272,good_facility,"comfortable_no_evident_not_comfortable, clean_no_evident_not_clean"
278,good_facility,"clean, no_evident_not_clean"
279,good_facility,"neighborhood, no_evident_not_neighborhood, modern, no_evident_not_modern"
282,good_facility,"nice, no_evident_not_nice, hotel, no_evident_not_hotel"
283,good_facility,"clean, modern, no_evident_not_clean, no_evident_not_modern"
284,good_facility,"clean, flexible, no_evident_not_clean, no_evident_not_flexible"
285,good_facility,"clean, nice, no_evident_not_clean, no_evident_not_nice"
287,good_facility,"allowed, no_evident_not_allowed, take, no_evident_not_take, dog, no_evident_not_dog"
288,good_facility,"recommended, no_evident_not_recommended, clean_rooms, no_evident_not_clean_rooms, central_location, no_evident_not_central_location, excellent_staff, no_evident_not_excellent_staff"
289,good_facility,"nice, no_evident_not_nice, clean, no_evident_not_clean"
