ID,Topic,Test 2
1,good_food,"tasty, food, first_floor, comfortable, restaurant, cozy_evenings, calm_work, escape, midday, no_evident_not_tasty, no_evident_not_food, no_evident_not_first_floor, no_evident_not_comfortable, no_evident_not_restaurant, no_evident_not_cozy_evenings, no_evident_not_calm_work, no_evident_not_escape, no_evident_not_midday"
2,good_food,"amazing, fresh, handmade, vegetarian_version, humus, cook_is_great, staff_were_very_kind_and_helpful, no_evident_not_amazing, no_evident_not_fresh, no_evident_not_handmade, no_evident_not_vegetarian_version, no_evident_not_humus, no_evident_not_cook_is_great, no_evident_not_staff_were_very_kind_and_helpful"
11,good_food,"good, no_evident_not_good, affordable, no_evident_not_affordable"
12,good_food,"good, no_evident_not_good, included, no_evident_not_included"
16,good_food,"the_food_is_tasty, made_with_careful_preparation, they_pay_attention_to_details, olive_oil_galore_used_in_the_food, herbs_are_present, no_evident_not_the_food_is_tasty, no_evident_not_made_with_careful_preparation, no_evident_not_they_pay_attention_to_details, no_evident_not_olive_oil_galore_used_in_the_food, no_evident_not_herbs_are_present, this_format_ensures_each_support_has_a_corresponding_contrary, structured_as_per_the_instructions"
18,good_food,"meals_are_well_prepared, no_evident_not_well_prepared, meals_have_good_value, no_evident_not_good_value"
21,good_food,"breakfast, dinner, delicious, no_evident_not_breakfast, no_evident_not_dinner, no_evident_not_delicious"
22,bad_food,have_evident_stodgy
22,good_food,"the_restaurant_area_is_good, no_evident_not_good"
26,good_food,"the_food_is_good, the_food_is_cheap, no_evident_not_the_food_is_good, no_evident_not_the_food_is_cheap, this_presentation_adheres_to_all_specified_conditions, ensuring_clarity_and_conciseness_while_maintaining_the_original_vocabulary_from_the_text"
31,good_food,"restaurant, food_excellent, food_reasonably_priced, no_evident_not_restaurant, no_evident_not_food_excellent, no_evident_not_food_reasonably_priced"
33,good_food,"breakfast, no_evident_not_breakfast, save_your_time, no_evident_not_save_your_time"
36,bad_food,"no_opening_times, no_closing_times, have_evident_no_opening_times, have_evident_no_closing_times"
36,good_food,"polite, no_evident_not_polite, excellent_food, no_evident_not_excellent_food, passion, no_evident_not_passion"
41,good_food,"breakfast, very, no_evident_not_nice_breakfast"
45,good_food,"reasonably_priced, easy_choice_compared_to_usual, no_evident_not_reasonably_priced, no_evident_not_easy_choice_compared_to_usual"
53,good_food,"delicious, no_evident_not_delicious, breakfasts, no_evident_not_breakfasts"
56,bad_food,"7, have_evident_7, 8, have_evident_8"
61,good_food,"food, no_evident_not_food, range, no_evident_not_range, offered, no_evident_not_offered"
62,good_food,"restaurant_no_evident_not_restaurant, site_no_evident_not_site"
64,good_food,"they_made_us_a_pizza, pizza_was_really_nice, no_evident_not_they_made_us_a_pizza, no_evident_not_pizza_was_really_nice"
66,good_food,"chic, no_evident_not_chic"
74,good_food,"restaurant, delicious, no_evident_not_restaurant, no_evident_not_delicious, this_list_adheres_to_all_specified_conditions, ensuring_clarity_and_precision_without_introducing_any_additional_information_or_assumptions"
80,good_food,"delicious, inexpensive, no_evident_not_delicious, no_evident_not_inexpensive"
84,good_food,"very_good, plenty_of_selection, no_evident_not_very_good, no_evident_not_plenty_of_selection, this_list_adheres_to_all_specified_conditions, ensuring_clarity_and_precision_in_the_aba_format"
86,good_food,"breakfast, excellent, no_evident_not_breakfast, no_evident_not_excellent"
87,good_food,"food, delicious, no_evident_not_food, no_evident_not_delicious"
93,good_food,"nice_restaurant, no_evident_not_nice_restaurant, nice_offer, no_evident_not_nice_offer"
94,good_food,"very_tasty_food, no_evident_not_very_tasty_food, super_service, no_evident_not_super_service"
97,good_food,"food, excellent, no_evident_not_food, no_evident_not_excellent"
107,good_food,"breakfast, excellent, no_evident_not_breakfast, no_evident_not_excellent"
112,good_food,"nice, food_is_good, good_service, no_evident_not_nice, no_evident_not_food_is_good, no_evident_not_good_service"
118,good_food,"good, no_evident_not_good, 10_10, no_evident_not_10_10"
126,good_food,"tasty, no_evident_not_tasty, this_list_adheres_to_all_specified_conditions, ensuring_clarity_and_conciseness_while_accurately_reflecting_the_original_statement_s_meaning"
132,good_food,"delicious, no_evident_not_delicious, freshly_prepared, no_evident_not_freshly_prepared"
134,good_food,"chef, no_evident_not_chef"
139,good_food,"nice, no_evident_not_nice, restaurant, no_evident_not_restaurant, at, no_evident_not_at, hotel, no_evident_not_hotel, with, no_evident_not_with, external, no_evident_not_external, balcony, no_evident_not_balcony"
140,good_food,"good_breakfast, no_evident_not_good_breakfast"
145,good_food,"ate_rich_breakfast, ate_various_local_food, no_evident_not_ate_rich_breakfast, no_evident_not_ate_various_local_food"
153,good_food,"error_readtimeout_httpconnectionpool_host_localhost, port_11434_read_timed_out_read_timeout_180"
155,good_food,"fresh, made, prepare, chef, no_evident_not_fresh, no_evident_not_made, no_evident_not_prepare, no_evident_not_chef"
158,good_food,"amazing, no_evident_not_amazing, breakfasts, no_evident_not_breakfasts"
162,good_food,"delicious, breakfast, no_evident_not_delicious, no_evident_not_breakfast"
167,good_food,"food_is_good, food_is_excellent, no_evident_not_food_is_good, no_evident_not_food_is_excellent"
168,good_food,"must_try, no_evident_not_must_try, pretty_delicious, no_evident_not_pretty_delicious"
169,good_food,"we_ate_2_meals, no_evident_not_we_ate_2_meals, both_were_delish, no_evident_not_both_were_delish, the_service_was_great, no_evident_not_the_service_was_great"
170,good_food,"no_evident_not_excellent, no_evident_not_best"
180,good_food,"delicious, no_evident_not_delicious, great, no_evident_not_great"
183,good_food,"the_food_is_good, the_food_is_excellent, no_evident_not_the_food_is_good, no_evident_not_the_food_is_excellent"
184,good_food,"kind, friendliness, delicious, jasmine_burger, no_evident_not_kind, no_evident_not_friendliness, no_evident_not_delicious, no_evident_not_jasmine_burger"
185,good_food,"and_contraries_list, breakfast, no_evident_not_breakfast, served, no_evident_not_served, until_noon, no_evident_not_until_noon"
190,good_food,no_evident_not_excellent_breakfast
198,good_food,"richard_as_the_head_of_hotel_s_restaurant_cooks_with_passion, he_makes_almost_everything_from_scratch, so_fresh_and_good_looking, he_makes_a_simple_breakfast_amazing, his_lunch_table_looks_like_a_feast, no_evident_not_cooking_with_passion, no_evident_not_making_almost_everything_from_scratch, no_evident_not_being_so_fresh_and_good_looking, no_evident_not_making_a_simple_breakfast_amazing, no_evident_not_looking_like_a_feast"
200,good_food,"food_is_good, no_evident_not_food_is_good, club_sandwich_is_great, no_evident_not_club_sandwich_is_great"
209,good_food,"we_loved_the_breakfast, no_evident_not_we_loved_the_breakfast"
211,good_food,"large_size, delicious, no_evident_not_large_size, no_evident_not_delicious"
213,good_food,"good, no_evident_not_good, kind, no_evident_not_kind"
221,good_food,"breakfast_was_good, no_evident_not_breakfast_was_good, breakfast_had_outstanding_taste, no_evident_not_breakfast_had_outstanding_taste"
226,good_food,"excellent_staff, no_evident_not_excellent_staff, ok_restaurant, no_evident_not_ok_restaurant"
232,good_food,"the_caf_provided_a_good_early_morning_meal, no_evident_not_a_good_early_morning_meal, the_manager_catered_to_our_every_need, no_evident_not_the_manager_catered_to_our_every_need"
233,good_food,"the_breakfast_was_amazing, the_management_were_wonderful, the_location_was_a_bit_far_from_the_local_shop_yet_they_have_everything_needed_in_the_cafe, no_evident_not_the_breakfast_was_amazing, no_evident_not_the_management_were_wonderful, no_evident_not_the_location_was_a_bit_far_from_the_local_shop_yet_they_have_everything_needed_in_the_cafe"
