line_no,id,reason
23,17,rerun still could not parse
44,30,rerun still could not parse
46,31,rerun still could not parse
53,35,rerun still could not parse
78,52,rerun still could not parse
89,59,rerun still could not parse
108,70,rerun still could not parse
114,74,rerun still could not parse
121,79,rerun still could not parse
139,89,rerun still could not parse
159,102,rerun still could not parse
167,107,rerun still could not parse
174,111,rerun still could not parse
189,122,rerun still could not parse
223,146,rerun still could not parse
227,148,rerun still could not parse
252,164,rerun still could not parse
259,169,rerun still could not parse
338,225,rerun still could not parse
355,236,rerun still could not parse
363,240,rerun still could not parse
369,243,rerun still could not parse
372,245,rerun still could not parse
396,262,rerun still could not parse
440,293,rerun still could not parse
445,295,rerun still could not parse
476,317,rerun still could not parse
495,330,rerun still could not parse
504,334,rerun still could not parse
509,337,rerun still could not parse
513,339,rerun still could not parse
542,358,rerun still could not parse
559,370,rerun still could not parse
583,387,rerun still could not parse
586,389,rerun still could not parse
601,399,rerun still could not parse
628,419,rerun still could not parse
634,423,rerun still could not parse
706,460,rerun still could not parse
716,467,rerun still could not parse
735,480,rerun still could not parse
751,490,rerun still could not parse
764,500,rerun still could not parse
773,506,rerun still could not parse
782,511,rerun still could not parse
790,517,rerun still could not parse
848,558,rerun still could not parse
853,561,rerun still could not parse
875,577,rerun still could not parse
894,591,rerun still could not parse
966,638,rerun still could not parse
1015,669,rerun still could not parse
1040,685,rerun still could not parse
1057,696,rerun still could not parse
1132,745,rerun still could not parse
1159,760,rerun still could not parse
1189,775,rerun still could not parse
1196,780,rerun still could not parse
