ID,Topic,Test 2
1,good_location,"close_to_airport, very_clean_beach, no_evident_not_close_to_airport, no_evident_not_very_clean_beach"
3,good_location,"great, close_to_airport, close_to_bus_stop, no_evident_not_not_great, no_evident_not_close_to_airport, no_evident_not_close_to_bus_stop"
5,good_location,"close_to_airport, no_evident_not_close_to_airport, clean_beach, no_evident_not_clean_beach, convenient_location, no_evident_not_convenient_location, easy_stroll, no_evident_not_easy_stroll, nice_restaurants, no_evident_not_nice_restaurants, great_beach, no_evident_not_great_beach"
8,good_location,"nice, no_evident_not_nice, location, no_evident_not_location"
10,good_location,"close_to_quiet_area, no_evident_not_close_to_quiet_area"
11,good_location,"close_to_the_airport, close_to_the_town_center, short_walk_away, affordable, no_evident_not_close_to_the_airport, no_evident_not_close_to_the_town_center, no_evident_not_short_walk_away, no_evident_not_affordable"
13,good_location,"short_drive_to_airport, well_located, no_evident_not_short_drive_to_airport, no_evident_not_well_located"
14,good_location,"close_to_airport, close_to_restaurants_bars, no_evident_not_close_to_airport, no_evident_not_close_to_restaurants_bars"
15,bad_location,"located_on_edge, it_is_a_bit_on_the_edge_of_larnaca, have_evident_located_on_edge, have_evident_it_is_a_bit_on_the_edge_of_larnaca, has_frequent_busses, with_frequent_busses_to_the_centre, have_evident_has_frequent_busses, have_evident_with_frequent_busses_to_the_centre"
15,good_location,"close_to_airport_for_early_morning_flight, nearby_beach, no_evident_not_reasonably_close_to_airport, no_evident_not_could_have_stroll_along_nearby_beach"
18,good_location,"here_s_the_text_in_assumption_based_argumentation_aba_format_based_on_your_conditions, regular_service, close_to_centre_of_larnaka, no_evident_not_regular_service, no_evident_not_close_to_centre_of_larnaka"
19,good_location,"close_to_airport, no_evident_not_close_to_airport"
26,good_location,"close_to_beach, no_evident_not_close_to_beach, close_to_lake, no_evident_not_close_to_lake"
27,good_location,"close_to_larnaca_airport, before_flying, no_evident_not_close_to_larnaca_airport, no_evident_not_before_flying"
28,bad_location,"buildings_under_construction, poorly_lit_buildings, have_evident_buildings_under_construction, have_evident_poorly_lit_buildings"
30,good_location,"close_to_restaurants, short_drive_to_airport, no_evident_not_close_to_restaurants, no_evident_not_short_drive_to_airport"
31,good_location,"close_to_mackenzy_beach, close_to_larnaca_airport, no_evident_not_close_to_mackenzy_beach, no_evident_not_close_to_larnaca_airport"
36,bad_location,"located_in_small_side_street, have_evident_located_in_small_side_street"
36,good_location,"close_to_sea_front, no_evident_not_close_to_sea_front"
37,good_location,"close_to_airport, no_evident_not_close_to_airport, close_to_clean_beach, no_evident_not_close_to_clean_beach"
40,good_location,"close_to_airport, close_to_mackenzie_beach, no_evident_not_close_to_airport, no_evident_not_close_to_mackenzie_beach"
41,bad_location,"kitchen, have_evident_kitchen, shut, have_evident_shut, have_evident_located_in_small_side_street"
41,good_location,"close_to_airport_by_car, close_to_beach, no_evident_not_close_to_airport_by_car, no_evident_not_close_to_beach"
44,bad_location,"but, have_evident_but, noisy, have_evident_noisy"
45,bad_location,"plane_noise, have_evident_plane_noise"
45,good_location,"close_to_5_minutes_walk, no_evident_not_close_to_5_minutes_walk"
49,good_location,"close_to_airport, short_walk_to_sea, no_evident_not_close_to_airport, no_evident_not_short_walk_to_sea"
50,good_location,"close_to_airport, no_evident_not_close_to_airport, this_is_the_only_support_and_its_corresponding_contrary_based_on_the_given_text"
51,good_location,"near_airport, no_evident_not_near_airport"
53,good_location,"close_to_airport, mackenzie_beach, no_evident_not_close_to_airport, no_evident_not_mackenzie_beach"
55,good_location,"near_airport, clean_beach, no_evident_not_near_airport, no_evident_not_clean_beach"
56,good_location,"close_to_airport, no_evident_not_close_to_airport, close_to_clean_beach, no_evident_not_close_to_clean_beach"
57,good_location,"nice, walk, restaurants, no_evident_not_nice, no_evident_not_walk, no_evident_not_restaurants"
58,bad_location,"noise_issue, have_evident_noise_from_planes, each_support_is_paired_with_a_contrary_that_starts_with_have_evident_and_uses_the_same_word_as_the_original_text_noise"
58,good_location,"close_to_the_airport, no_evident_not_close_to_the_airport"
59,good_location,"close_to_airport, convenient_for_overnight_stay, no_evident_not_close_to_airport, no_evident_not_convenient_for_overnight_stay"
62,good_location,"near_airport, no_evident_not_near_airport, near_beach, no_evident_not_near_beach"
64,bad_location,"can_hear_noise_from_planes, located_in_small_side_street, close_to_airport, have_evident_can_hear_noise_from_planes, have_evident_located_in_small_side_street, have_evident_close_to_airport"
64,good_location,"close_to_airport_car_proximity_close_to_airport, no_evident_not_close_to_airport_car_proximity_no_evident_not_close_to_airport_car_proximity, close_to_airport_bus_proximity_close_to_airport, no_evident_not_close_to_airport_bus_proximity_no_evident_not_close_to_airport_bus_proximity"
65,good_location,"great, no_evident_not_great, easy, no_evident_not_easy"
66,good_location,"close_to_airport, fish_and_steak_restaurant, no_evident_not_close_to_airport, no_evident_not_fish_and_steak_restaurant"
71,bad_location,"no_shop, have_evident_no_shop, no_pharmacy, have_evident_no_pharmacy"
71,good_location,"near_airport, no_evident_not_near_airport, airport_reachable_in_a_few_minutes, no_evident_not_airport_reachable_in_a_few_minutes, mackenzie_beach_accessible_on_foot, no_evident_not_mackenzie_beach_accessible_on_foot"
