ID,Topic,Output
1,good_facility,"Here is the structured ABA format based on the provided text:

- **Claim:** good_facility  
- **Supports:**
  - new
  - comfortable  
- **Contraries:**
  - No evident not new
  - No evident not comfortable"
2,bad_facility,"Here is the structured ABA format based on your instructions:

1. **Support**: pleasant  
   **Contrary**: have evident unpleasant  

2. **Support**: not big  
   **Contrary**: have evident too small"
2,good_facility,"1. Cozy  
   no evident not cozy  

2. Not big  
   no evident not not big"
53,good_facility,"- nice  
  no evident not nice  

- renovated hotel  
  no evident not renovated hotel"
63,good_facility,"Here is the text in Assumption-Based Argumentation (ABA) format based on your requirements:

1. Renovated  
   No evident not renovated  

2. High  
   No evident not high  

3. Up to 4* standard  
   No evident not up to 4* standard"
66,good_facility,"- Support: welcome  
  Contrary: No evident not welcome  

- Support: entrance  
  Contrary: No evident not entrance"
69,good_facility,"- Support: place  
  Contrary: No evident not place  

- Support: people  
  Contrary: No evident not people"
70,good_facility,"- **Supports:**
  - peaceful
  - clean

- **Contraries:**
  - No evident not peaceful
  - No evident not clean"
76,good_facility,"1. new  
   no evident not new  

2. clean  
   no evident not clean"
80,good_facility,"- new  
  - no evident not new  

- everything  
  - no evident not everything"
81,bad_facility,"- **Support**: no 24 hour reception  
  - **Contrary**: have evident 24 hour reception  

- **Support**: not easy to access entry at odd hours  
  - **Contrary**: have evident easy access at odd hours"
84,bad_facility,"- **Claim**: bad_facility  
- **Supports**:
  - No pool
- **Contraries**:
  - Have evident no pool"
84,good_facility,"Here is the structured ABA format based on your text:

**Supports:**
1. Everything was spotless clean everywhere too.
2. Had plenty of chairs to sit on outside in the garden which also was spotlessly clean everywhere too.

**Contraries:**
1. No evident not everything was spotless clean everywhere too.
2. No evident not had plenty of chairs to sit on outside in the garden which also was spotlessly clean everywhere too.

This format adheres to your conditions, ensuring each support is a concise phrase without adjectives or adverbs and each contrary starts with ""No evident not"" followed by the same word as the support."
86,good_facility,"Here is the structured ABA format based on the given text:

- **Supports:**
  - lovely little hotel
  - friendly staff

- **Contraries:**
  - No evident not lovely little hotel
  - No evident not friendly staff"
88,good_facility,"Here is the structured ABA format based on the given text:

- **Supports:**
  - Clean
  - Comfortable
  - Little

- **Contraries:**
  - No evident not clean
  - No evident not comfortable
  - No evident not little"
90,bad_facility,"1. parking is not always easy  
have evident that parking is not always easy"
94,good_facility,"- **Supports**:  
  - modern  
  - facility  

- **Contraries**:  
  - no evident not modern  
  - no evident not facility"
98,good_facility,"Here is the structured ABA format based on the given text:

1. The hotel is nice.
   - No evident not nice.

2. The hotel is spacious.
   - No evident not spacious.

3. The hotel is clean.
   - No evident not clean.

4. The hotel is modern.
   - No evident not modern.

This list provides each support followed by its corresponding contrary, all within a single section without additional assumptions or claims."
109,good_facility,"**ABA Format Response:**

1. Clean  
   - Contrary: No evident not clean

2. Efficient  
   - Contrary: No evident not efficient

3. Well-maintained  
   - Contrary: No evident not well-maintained

4. Spacious  
   - Contrary: No evident not spacious

5. Modern  
   - Contrary: No evident not modern

6. Friendly staff  
   - Contrary: No evident not friendly staff

7. Good location  
   - Contrary: No evident not good location

8. Clean rooms  
   - Contrary: No evident not clean rooms"
110,good_facility,"1. building is refurbed  
   no evident not building is refurbed  

2. comfortable  
   no evident not comfortable"
112,good_facility,"- Support: recently  
  Contrary: No evident not recently  

- Support: refurbished  
  Contrary: No evident not refurbished"
114,bad_facility,"Here is the structured ABA format based on the given text:

1. **Argument 1:**
   - **Support:** No pool available.
   - **Contrary:** have evident no pool available.

2. **Argument 2:**
   - **Support:** No swimming area.
   - **Contrary:** have evident no swimming area.

3. **Argument 3:**
   - **Support:** Lack of a recreational space.
   - **Contrary:** have evident lack of a recreational space.

Each argument highlights different aspects related to the absence of a pool, contributing to the overall claim that the facility is bad."
114,good_facility,"**ABA Format for ""good_facility""**

1. Clean  
   - No evident not clean  

This structure adheres to the specified conditions by using exact vocabulary, concise supports, and appropriate contraries in a single list format."
123,good_facility,"1. good_facility
   - nice
     - no evident not nice
   - simple
     - no evident not simple"
130,good_facility,"Here is the structured ABA format based on your instructions:

1. **Support**: hotel allowed  
2. **Contrary**: no evident not hotel allowed  
3. **Support**: stay with animals  
4. **Contrary**: no evident not stay with animals  

This list adheres to all specified conditions, including using exact words from the original text and ensuring each contrary starts with ""no evident not."""
133,bad_facility,"- Supports:
  - pool
- Contraries:
  - have evident no pool"
134,good_facility,"- Support: lovely  
  Contrary: No evident not lovely  

- Support: clean  
  Contrary: No evident not clean"
135,good_facility,"- **Supports:**
  - Modern
  - Clean
  - Accommodation

- **Contraries:**
  - No evident not modern
  - No evident not clean
  - No evident not accommodation"
136,bad_facility,"- Claim: bad_facility
- Supports:
  - dirty (contrary: have evident that it is not dirty)
  - ugly (contrary: have evident that it is not ugly)
  - horrible (contrary: have evident that it is not horrible)"
136,good_facility,"- **Supports:**
  - clean
  - beautiful

- **Contraries:**
  - No evident not clean
  - No evident not beautiful"
139,bad_facility,"Here is the structured ABA format based on your requirements:

- **Supports and Contraries:**
  - Elevator
    - have evident problems
  - Slow
    - have evident issues"
141,good_facility,"1. fantastic  
   no evident not fantastic  

2. hotel  
   no evident not hotel"
149,bad_facility,"1. Does not have clean rooms (have evident clean rooms).  
2. Is poorly maintained (have evident well-maintained).  
3. Appears outdated (have evident up-to-date).  
4. Seems unclean (have evident clean)."
150,bad_facility,"- Support: no_kiosk  
- Contrary: have_evident_no_kiosk"
150,good_facility,"Here is the structured ABA format based on the given text:

1. new  
   - No evident not new  

2. beautiful  
   - No evident not beautiful  

3. clean  
   - No evident not clean"
155,good_facility,"1. Comfortable - No evident not comfortable  
2. Clean - No evident not clean  
3. Brand new - No evident not brand new  
4. Full equipped - No evident not full equipped  
5. Wonderful - No evident not wonderful  
6. Nice - No evident not nice"
