ID,Topic,Output
1,good_staff,"1. **Support**: helpful_staff  
   **Contrary**: no_evident_not_helpful_staff  

2. **Support**: communicate_with staff  
   **Contrary**: no_evident_not_communicate_with staff"
2,good_staff,"- **Supports**:  
  - nice_staff  
  - helpful_staff  

- **Contraries**:  
  - no_evident_not_nice_staff  
  - no_evident_not_helpful_staff"
4,good_staff,"**ABA Format Based on Given Text**

- **Claim:** good_staff  
- **Supports:**
  - Exceptional staff
  - Helpful staff
  - Friendly staff
  - Staff went out of their way  
- **Contraries:**
  - No evident not exceptional staff
  - No evident not helpful staff
  - No evident not friendly staff
  - No evident not (staff went out of their way)"
8,good_staff,"Here is the structured ABA format based on your requirements:

- **Supports**:
  - lovely
  - personal

- **Contraries**:
  - No evident not lovely
  - No evident not personal"
9,good_staff,"Here is the text in Assumption-Based Argumentation (ABA) format based on your conditions:

- **Supports**:  
  - helpful_host  
  - nearby_bus_takes_to_town_centre  
  - airport_by_the_way  

- **Contraries**:  
  - no_evident_not_helpful_host  
  - no_evident_not_nearby_bus_takes_to_town_centre  
  - no_evident_not_airport_by_the_way"
11,good_staff,"1. great_receptionist  
   - no_evident_not_great_receptionist  

2. friendly_chef  
   - no_evident_not_friendly_chef  

3. has_a_permanent  
   - no_evident_not_has_a_permanent  

4. nice_cleaning_lady  
   - no_evident_not_nice_cleaning_lady"
12,good_staff,"Here is the text converted into Assumption Based Argumentation (ABA) format based on your conditions:

- **Supports**:  
  - exceptional  
  - helpful  
  - friendly  
  - went_out_of_their_way_for_us  

- **Contraries**:  
  - no_evident_not_exceptional  
  - no_evident_not_helpful  
  - no_evident_not_friendly  
  - no_evident_not_went_out_of_their_way_for_us"
13,good_staff,"1. **Support**: welcoming_staff  
   **Contrary**: no_evident_not_welcoming_staff  

2. **Support**: stay_with_family  
   **Contrary**: no_evident_not_stay_with_family"
14,bad_staff,"1. **Claim:** bad_staff  
2. **Support 1:** The receptionist's English was poor.  
3. **Contrary 1:** have evident The receptionist didn't speak English properly.

This structure adheres to all specified conditions, ensuring clarity and conciseness while maintaining the integrity of the original text's meaning."
15,good_staff,"- Claim: good_staff
  Supports:
    - staff
      - make_it
        - no_evident_not_make_it"
17,good_staff,"1. good_staff: friendly  
   - No evident not friendly  

2. good_staff: supportive  
   - No evident not supportive  

3. good_staff: helped_with_all_wishes  
   - No evident not helped_with_all_wishes"
18,good_staff,"Here is the text reformatted into Assumption-Based Argumentation (ABA) format based on your instructions:

### Supports:
- exceptional_staff  
- helpful_staff  
- friendly_staff  
- staff_go_out_of_their_way_for_us  

### Contraries:  
- no_evident_not_exceptional_staff  
- no_evident_not_helpful_staff  
- no_evident_not_friendly_staff  
- no_evident_not_staff_go_out_of_their_way_for_us"
20,good_staff,"friendly_staff, friendly, friendly staff, no evident not friendly_staff, no evident not friendly, no evident not friendly staff"
21,good_staff,"Here is the structured list of supports and their corresponding contraries based on the given text:

1. **exceptional_staff**  
   - Contrary: **no_evident_not_exceptional_staff**

2. **helpful_staff**  
   - Contrary: **no_evident_not_helpful_staff**

3. **friendly_staff**  
   - Contrary: **no_evident_not_friendly_staff**

4. **staff_go_out_of_their_way_for_us**  
   - Contrary: **no_evident_not_staff_go_out_of_their_way_for_us**

5. **super_fresh_food**  
   - Contrary: **no_evident_not_super_fresh_food**

6. **kind_owners**  
   - Contrary: **no_evident_not_kind_owners**

7. **staff_will_bring_back** (derived from ""what will bring me back is the staff"")  
   - Contrary: **no_evident_not_staff_will_bring_back**

8. **owners_will_bring_back** (derived from ""the owners"")  
   - Contrary: **no_evident_not_owners_will_bring_back**

This list ensures that each support is paired with its contrary, adhering to the specified conditions and formatting requirements."
22,good_staff,"good_staff  
accommodating  
no_evident_not_accommodating"
26,good_staff,"1. **Claim**: good_staff  
2. **Supports**:
   - friendly  
3. **Contraries**:
   - no evident not friendly"
27,good_staff,"- **Support**: friendly_staff  
  - **Contrary**: no_evident_not_friendly_staff"
28,good_staff,"1. good_staff  
   - polite_staff  
     - no evident not polite_staff  
   - caring_staff  
     - no evident not caring_staff"
29,good_staff,"- **Support**: helpful_staff  
  - **Contrary**: no_evident_not_helpful_staff  

- **Support**: (no additional short words needed for ""lovely"" as it can be simplified to ""helpful"")"
30,good_staff,"1. Staff_lovely  
2. service_great  
3. no_evident_not_staff_lovely  
4. no_evident_not_service_great"
31,good_staff,"friendly_staff, no_evident_not_friendly_staff"
32,good_staff,"1. kind_staff  
2. no_evident_not_kind_staff"
33,good_staff,[ERROR] Timeout after 180s while waiting for model response. Skipping.
34,good_staff,"Here is the structured ABA format based on your requirements:

1. **Supports:**
   - exceptional_staff
   - helpful_staff
   - friendly_staff
   - staff_went_out_of_their_way_for_us

2. **Contraries:**
   - no_evident_not_exceptional_staff
   - no_evident_not_helpful_staff
   - no_evident_not_friendly_staff
   - no_evident_not_staff_went_out_of_their_way_for_us"
36,good_staff,"1. very_good_receptionist  
   - no_evident_not_very_good_receptionist  

2. explained_clearly_receptionist  
   - no_evident_not_explained_clearly_receptionist"
37,good_staff,"1. lovely_staff  
   - no_evident_not_lovely_staff  

2. caring_staff  
   - no_evident_not_caring_staff"
41,good_staff,"good_staff  
friendly_staff  
helpful_staff  
no_evident_not_friendly_staff  
no_evident_not_helpful_staff"
42,good_staff,"ABA Format:  
- good_hospitality, no_evident_not_good_hospitality"
44,good_staff,"1. **warm_welcome_at_reception**  
   - **Contrary**: no_evident_not_warm_welcome_at_reception  

2. **warm_welcome_by_dining_staff**  
   - **Contrary**: no_evident_not_warm_welcome_by_dining_staff"
47,good_staff,"- very_helpful_staff, no_evident_not_helpful_staff  
- taxi, no_evident_not_taxi  
- staff_go_out_of_their_way_for_us, no_evident_not_staff_go_out_of_their_way_for_us"
48,good_staff,"- **Claim**: lovely_owner  
- **Support**: lovely  
  - **Contrary**: no_evident_not_lovely  
- **Support**: owner  
  - **Contrary**: no_evident_not_owner"
51,good_staff,"- **Supports**:  
  - help  
  - friend  

- **Contraries**:  
  - no evident not help  
  - no evident not friend"
56,good_staff,"Here is the structured response based on your requirements:

- **Claim**: good_staff  
- **Support**: hospitality  
  - **Contrary**: no evident not hospitality  
- **Support**: staff  
  - **Contrary**: no evident not staff"
57,good_staff,"1. **helpful_staff**  
   - **Support**: ""helpful""  
     - **Contrary**: ""no_evident_not_helpful""  

2. **friendly_staff**  
   - **Support**: ""friendly""  
     - **Contrary**: ""no_evident_not_friendly""  

3. **ordered_a_taxi**  
   - **Support**: ""ordered""  
     - **Contrary**: ""no_evident_not_ordered""  

4. **went_out_of_their_way_for_us**  
   - **Support**: ""went_out_of_their_way""  
     - **Contrary**: ""no_evident_not_went_out_of_their_way"""
58,good_staff,"nice_and_helpful_staff, nice, helpful, no_evident_not_nice, no_evident_not_helpful"
61,good_staff,"- **Claim**: good_service  
- **Support**: good_service  
- **Contrary**: no_evident_not_good_service"
62,good_staff,"1. **caring_host**  
   No evident not_caring_host  

2. **helpful_host**  
   No evident not_helpful_host"
64,good_staff,"Here is the ABA format based on your conditions:

1. **Supports:**
   - exceptional_staff
   - helpful_staff
   - friendly_staff
   - staff_went_out_of_their_way_for_us

2. **Contraries:**
   - no_evident_not_exceptional_staff
   - no_evident_not_helpful_staff
   - no_evident_not_friendly_staff
   - no_evident_not_staff_went_out_of_their_way_for_us"
66,good_staff,"- **Claim**: gentleman_in_reception  
  - **Support**: friendly  
    - **Contrary**: no_evident_not_friendly  
  - **Support**: smiling  
    - **Contrary**: no_evident_not_smiling"
67,good_staff,"Here is the structured ABA format based on your requirements:

- **Supports**:
  - exceptional
  - helpful
  - friendly
  - go_out_of_their_way_for_us

- **Contraries** (each starting with ""no evident not""):
  - no_evident_not_exceptional
  - no_evident_not_helpful
  - no_evident_not_friendly
  - no_evident_not_go_out_of_their_way_for_us"
68,good_staff,"- Claim: good_staff
  - Supports and Contraries:
    - Support1: friendly_staff; Contrary1: no_evident_not_friendly_staff"
69,good_staff,"- **Support**: lovely_place  
  **Contrary**: no evident not lovely_place  

- **Support**: lovely_people  
  **Contrary**: no evident not lovely_people"
70,good_staff,"1. **friendly**: friendly  
   - Contrary: no evident not friendly  

2. **helpful**: helpful  
   - Contrary: no evident not helpful"
71,good_staff,"1. good_staff  
   - friendly_staff  
     - no_evident_not_friendly_staff  
   - nice_staff  
     - no_evident_not_nice_staff"
73,good_staff,"1. **Supports**:  
   - lovely_staff  
   - staff_doing_best  
   - staff_always_assisting  

2. **Contraries**:  
   - no_evident_not_lovely_staff  
   - no_evident_not_staff_doing_best  
   - no_evident_not_staff_always_assisting"
74,good_staff,"1. good_staff  
   - friendly_staff  
     - no_evident_not_friendly_staff  
   - nice_staff  
     - no_evident_not_nice_staff"
77,good_staff,"1. **Support**: helpful_staff  
   **Contrary**: no_evident_not_helpful_staff  

2. **Support**: eager_to_assist  
   **Contrary**: no_evident_not_eager_to_assist"
78,good_staff,"- **Supports**:  
  - friendly_staff  
  - nice_staff  

- **Contraries**:  
  - no_evident_not_friendly_staff  
  - no_evident_not_nice_staff"
79,good_staff,"1. **friendly**: friendly  
   - Contrary: no evident not friendly  

2. **helpful**: helpful  
   - Contrary: no evident not helpful"
82,good_staff,"1. **Claim**: good_staff  
2. **Supports**:
   - amazing
     - Contrary: no_evident_not_amazing
   - staff
     - Contrary: no_evident_not_staff"
83,good_staff,"- **Supports**:  
  - nice_staff  
  - friendly_staff  

- **Contraries**:  
  - no_evident_not_nice_staff  
  - no_evident_not_friendly_staff"
84,good_staff,"1. **Supports**:  
   - good staff  
   - serve_values_customer  
   - polite staff  
   - caring staff  
   - helping_out_for_guests  

2. **Contraries**:  
   - no_evident_not_good_staff  
   - no_evident_not_serve_values_customer  
   - no_evident_not_polite_staff  
   - no_evident_not_caring_staff  
   - no_evident_not_helping_out_for_guests"
85,bad_staff,"1. **Support**: staff_didn_t_finish_the_cleaning  
   **Contrary**: have_evident_staff_didn_t_finish_the_cleaning  

2. **Support**: have_evident_staff_didn_t_finish_the_cleaning  
   **Contrary**: have_evident_staff_didn_t_finish_the_cleaning"
85,good_staff,"friendly_personnel  
no_evident_not_friendly_personnel  
personnel  
no_evident_not_personnel"
86,good_staff,"- **Claim**: good_staff  
  - **Support**: friendly_staff  
    - **Contrary**: no_evident_not_friendly_staff"
87,good_staff,"- good_staff  
  - friendly_staff  
    + no_evident_not_friendly_staff"
88,good_staff,"- good_staff  
  - friendly  
    - no_evident_not_friendly"
91,good_staff,"Here is the text in Assumption-Based Argumentation (ABA) format based on your query:

- **Supports**:  
  - helpful_staff  
  - friendly_staff  

- **Contraries**:  
  - no_evident_not_helpful_staff  
  - no_evident_not_friendly_staff"
94,good_staff,"good_staff, amazing_staff, no_evident_not_amazing_staff"
96,good_staff,"good_staff, nice_staff, no_evident_not_nice_staff"
97,good_staff,"- good_staff  
  - helpful_staff  
    - friendly_staff  
      - staff_go_out_of_their_way_for_us  

- no_evident_not_helpful_staff  
- no_evident_not_friendly_staff  
- no_evident_not_staff_go_out_of_their_way_for_us"
99,good_staff,"- good_staff: staff_was_wonderful  
  - no_evident_not_good_staff"
100,good_staff,"- Support: incredibly_polite  
- Contrary: no_evident_not_incredibly_polite"
101,good_staff,"1. **Support**: very_hospitable_staff  
   **Contrary**: no_evident_not_very_hospitable_staff  

2. **Support**: very_helpful_staff  
   **Contrary**: no_evident_not_very_helpful_staff"
102,good_staff,"- **Support**: friendly_staff  
  - **Contrary**: no_evident_not_friendly_staff"
105,good_staff,"good_staff,  
nice,  
no_evident_not_nice"
106,bad_staff,"1. Support: have staff learn better English  
   Contrary: have evident staff didn't speak English properly"
