ID,Prompt,PhraseA,PhraseB,Test 2
1,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is helpful_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,helpful_staff,No
2,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is easy_to_communicate_with. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,easy_to_communicate_with,Yes
3,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is nice_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,nice_staff,Yes
4,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is great_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,great_staff,Yes
5,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is lovely_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,lovely_staff,Yes
6,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_town_center. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_show_how_nearby_bus_take_to_town_center,Yes
7,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is staff_show_how_nearby_bus_take_to_airport. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_show_how_nearby_bus_take_to_airport,Yes
8,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is amazing_staff. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,amazing_staff,Yes
9,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is beyond_expectation. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,beyond_expectation,Yes
10,"Is phrase B contrary to phrase A? Answer exactly 'Yes' or 'No' only. Don't provide any nonsensical or multilingual garbage text.

[Example] Phrase B is no_one_answer_phone. Phrase A is no_evident_not_prompt_response_staff. Answer is 'Yes'.

[Question] Phrase B is staff_take_time_to_explain. Phrase A is no_evident_not_helpful_staff.",no_evident_not_helpful_staff,staff_take_time_to_explain,Yes
