ID,Topic,Test 3
1,good_staff,"staff_extremely_helpful, staff_easy_to_communicate_with, no_evident_not_staff_extremely_helpful, no_evident_not_staff_easy_to_communicate_with"
2,good_staff,"nice_staff, helpful_staff, no_evident_not_nice_staff, no_evident_not_helpful_staff"
4,good_staff,"exceptional_staff, helpful_staff, friendly_staff, staff_go_out_of_their_way_for_us, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_go_out_of_their_way_for_us"
8,good_staff,"lovely_staff, personal_staff, no_evident_not_lovely_staff, no_evident_not_personal_staff, this_list_adheres_to_all_specified_conditions, ensuring_clarity_and_conciseness_while_maintaining_the_original_vocabulary_from_the_provided_text"
9,good_staff,"helpful_host, no_evident_not_helpful_host, showed_us_ho_w_nearby_bus_takes_to_town_cntre, no_evident_not_showed_us_ho_w_nearby_bus_takes_to_town_cntre, showed_us_ho_w_nearby_bus_takes_to_airport, no_evident_not_showed_us_ho_w_nearby_bus_takes_to_airport"
11,good_staff,"great_staff, no_evident_not_great_staff, helpful_staff, no_evident_not_helpful_staff, friendliest_staff, no_evident_not_friendliest_staff, nice_staff, no_evident_not_nice_staff, friendly_staff, no_evident_not_friendly_staff"
12,good_staff,"helpful, no_evident_not_helpful, friendly, no_evident_not_friendly, went_out_of_their_way_for_us, no_evident_not_went_out_of_their_way_for_us"
13,good_staff,"welcoming_staff, no_evident_not_welcoming_staff, stay_with_family, no_evident_not_stay_with_family"
14,bad_staff,"the_receptionist_s_english_was_poor, have_evident_the_receptionist_didn_t_speak_english_properly, this_structure_adheres_to_all_specified_conditions, ensuring_clarity_and_conciseness_while_maintaining_the_integrity_of_the_original_text_s_meaning"
15,good_staff,"staff, make_it, no_evident_not_make_it"
17,good_staff,"friendly, no_evident_not_friendly, supportive, no_evident_not_supportive, helped_with_all_wishes, no_evident_not_helped_with_all_wishes"
18,good_staff,"exceptional_staff, helpful_staff, friendly_staff, staff_go_out_of_their_way_for_us, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_go_out_of_their_way_for_us"
20,good_staff,"friendly_staff, friendly, no_evident_not_friendly_staff, no_evident_not_friendly"
21,good_staff,"exceptional_staff, no_evident_not_exceptional_staff, helpful_staff, no_evident_not_helpful_staff, friendly_staff, no_evident_not_friendly_staff, staff_go_out_of_their_way_for_us, no_evident_not_staff_go_out_of_their_way_for_us, super_fresh_food, no_evident_not_super_fresh_food, kind_owners, no_evident_not_kind_owners, staff_will_bring_back_derived_from_what_will_bring_me_back_is_the_staff, no_evident_not_staff_will_bring_back, owners_will_bring_back_derived_from_the_owners, no_evident_not_owners_will_bring_back, this_list_ensures_that_each_support_is_paired_with_its_contrary, adhering_to_the_specified_conditions_and_formatting_requirements"
22,good_staff,"accommodating, no_evident_not_accommodating"
26,good_staff,"friendly, no_evident_not_friendly"
27,good_staff,"friendly_staff, no_evident_not_friendly_staff"
28,good_staff,"polite_staff, no_evident_not_polite_staff, caring_staff, no_evident_not_caring_staff"
29,good_staff,"helpful_staff, no_evident_not_helpful_staff, no_additional_short_words_needed_for_lovely_as_it_can_be_simplified_to_helpful"
30,good_staff,"staff_lovely, service_great, no_evident_not_staff_lovely, no_evident_not_service_great"
31,good_staff,"friendly_staff, no_evident_not_friendly_staff"
32,good_staff,"kind_staff, no_evident_not_kind_staff"
33,good_staff,error_timeout_after_180s_while_waiting_for_model_response_skipping
34,good_staff,"exceptional_staff, helpful_staff, friendly_staff, staff_went_out_of_their_way_for_us, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_went_out_of_their_way_for_us"
36,good_staff,"very_good_receptionist, no_evident_not_very_good_receptionist, explained_clearly_receptionist, no_evident_not_explained_clearly_receptionist"
37,good_staff,"lovely_staff, no_evident_not_lovely_staff, caring_staff, no_evident_not_caring_staff"
41,good_staff,"friendly_staff, helpful_staff, no_evident_not_friendly_staff, no_evident_not_helpful_staff"
42,good_staff,"good_hospitality, no_evident_not_good_hospitality"
44,good_staff,"warm_welcome_at_reception, no_evident_not_warm_welcome_at_reception, warm_welcome_by_dining_staff, no_evident_not_warm_welcome_by_dining_staff"
47,good_staff,"very_helpful_staff, no_evident_not_helpful_staff, taxi, no_evident_not_taxi, staff_go_out_of_their_way_for_us, no_evident_not_staff_go_out_of_their_way_for_us"
48,good_staff,"lovely, no_evident_not_lovely, owner, no_evident_not_owner"
51,good_staff,"help, friend, no_evident_not_help, no_evident_not_friend"
56,good_staff,"hospitality, no_evident_not_hospitality, staff, no_evident_not_staff"
57,good_staff,"helpful_staff, helpful, no_evident_not_helpful, friendly_staff, friendly, no_evident_not_friendly, ordered_a_taxi, ordered, no_evident_not_ordered, went_out_of_their_way_for_us, went_out_of_their_way, no_evident_not_went_out_of_their_way"
58,good_staff,"nice_and_helpful_staff, nice, helpful, no_evident_not_nice, no_evident_not_helpful"
61,good_staff,"good_service, no_evident_not_good_service"
62,good_staff,"caring_host, no_evident_not_caring_host, helpful_host, no_evident_not_helpful_host"
64,good_staff,"exceptional_staff, helpful_staff, friendly_staff, staff_went_out_of_their_way_for_us, no_evident_not_exceptional_staff, no_evident_not_helpful_staff, no_evident_not_friendly_staff, no_evident_not_staff_went_out_of_their_way_for_us"
66,good_staff,"friendly, no_evident_not_friendly, smiling, no_evident_not_smiling"
