ID,Topic,Output
1,good_location,"1. close  
   no evident not close  

2. very clean  
   no evident not very clean"
3,good_location,"- **Supports**: near, close  
- **Contraries**: No evident not near, No evident not close"
5,good_location,"- Support: in  
  Contrary: No evident not in  

- Support: location  
  Contrary: No evident not location"
8,good_location,"1. Support: nice  
   Contrary: no evident not nice  

2. Support: location  
   Contrary: no evident not location"
10,good_location,"Supports and Contraries:

- Quiet  
  No evident not quiet"
11,good_location,"1. **Support**: minutes walk  
   **Contrary**: no evident not minutes walk  

2. **Support**: 2 euros  
   **Contrary**: no evident not 2 euros"
13,good_location,"**ABA Format:**

1. **Supports:**
   - short drive to the airport
   - located
   - short walk from the promenade
   - coffee shops
   - restaurants

2. **Contraries:**
   - No evident not a short drive to the airport.
   - No evident not located.
   - No evident not a short walk from the promenade.
   - No evident not coffee shops.
   - No evident not restaurants.

This format ensures each support is paired with its contrary, using exact vocabulary and maintaining clarity without unnecessary adjectives or adverbs."
14,good_location,"- Good location: Hotel is near the airport
- Good location: Restaurants and bars are by the beach
- Good location: Close to the hotel
- No evident not near the airport
- No evident not next to the beach
- No evident not close to the hotel"
15,bad_location,"1. Support: ""it is a bit on the edge of Larnaca""  
   Contrary: have evident frequent buses to the centre.

2. Support: ""with frequent buses to the centre""  
   Contrary: have evident it is a bit on the edge of Larnaca."
15,good_location,"- Support: close  
  Contrary: no evident not close  

- Support: stroll  
  Contrary: no evident not stroll"
18,good_location,"Supports:
1. every 20 minutes
2. centre of Larnaka

Contraries:
1. No evident not every 20 minutes
2. No evident not centre of Larnaka"
19,good_location,"Supports:
- Near
- Close
- Proximity

Contraries:
- no evident not near
- no evident not close
- no evident not proximity"
26,good_location,"1. The hotel is 5 minutes from the beach.  
   No evident not 5 minutes from the beach.  

2. The location is near the lake.  
   No evident not near the lake."
27,good_location,"- Support 1: overnight stay  
- Support 2: Larnaca Airport  
- Contrary 1: No evident not suitable for overnight stay.  
- Contrary 2: No evident not from Larnaca Airport."
28,bad_location,"- Supports:
  - constructions
  - poorly lit

- Contraries:
  - have evident constructions
  - have evident poorly lit"
30,good_location,"Here is the ABA formatted text based on your requirements:

- Good location has restaurants.  
  No evident not has restaurants.  

- Close to the airport.  
  No evident not is close to the airport."
31,good_location,"1. Support: close to Mackenzy beach  
   Contrary: No evident not close to Mackenzy beach  

2. Support: close to Larnaca airport  
   Contrary: No evident not close to Larnaca airport"
36,bad_location,"1. **Supports and Contraries:**

   - **small**  
     *Contrary:* have evident not small
   - **side street**  
     *Contrary:* have evident not side street"
36,good_location,"1. Close - no evident not close  
2. Short walk - no evident not short walk"
37,good_location,"- **Claim**: good_location  
- **Supports**:
  - bus
    - Contrary: no evident not bus
  - airport
    - Contrary: no evident not airport
  - close by
    - Contrary: no evident not close by
  - every
    - Contrary: no evident not every
  - minutes
    - Contrary: no evident not minutes"
40,good_location,"Here is the structured ABA format based on your requirements:

1. Nice location  
   - No evident not nice location  

2. Not far from Airport  
   - No evident not far from Airport  

3. Not far from Mackenzie beach  
   - No evident not far from Mackenzie beach"
