ID,Topic,Test 2
59,good_check_in,"easy, no_evident_not_easy, check_in, no_evident_not_check_in, late_at_night, no_evident_not_late_at_night"
60,good_check_in,"clear_instructions, left_access, made_easy, no_evident_not_clear_instructions, no_evident_not_left_access, no_evident_not_made_easy, this_format_presents_each_support_and_its_corresponding_contrary, adhering_to_the_specified_conditions_without_additional_assumptions_or_claims"
71,good_check_in,"instructions, how_to_get_access, no_evident_not_instructions, no_evident_not_how_to_get_access"
72,good_check_in,"received_clear_instructions, no_evident_not_received_clear_instructions, entered_hotel, no_evident_not_entered_hotel, accessed_room, no_evident_not_accessed_room, each_entry_clearly_presents_the_support_and_its_corresponding_contrary, adhering_to_the_specified_conditions"
89,good_check_in,"sent, no_evident_not_sent, perfect, no_evident_not_perfect"
92,good_check_in,"late_night, no_evident_not_late_night, super, no_evident_not_super, easy, no_evident_not_easy"
110,good_check_in,"check_in_was_easy, the_check_in_process_was_easy, no_evident_not_the_check_in_was_easy, no_evident_not_the_check_in_process_was_easy"
140,good_check_in,"easy, self, check_in, no_evident_not_easy, no_evident_not_self, no_evident_not_check_in"
152,bad_check_in,"late_check_in, no_one_gave_us_keys, door_was_locked, have_evident_late_check_in, have_evident_no_one_gave_us_keys, have_evident_door_was_locked"
153,good_check_in,"friendly_staff, no_evident_not_friendly_staff, checked_us_in_quickly, no_evident_not_checked_us_in_quickly"
158,good_check_in,"easy, no_evident_not_difficult"
163,good_check_in,"easy, night, check, no_evident_not_easy, no_evident_not_night, no_evident_not_check"
185,good_check_in,"the_staff_accommodated_my_arrival_at_3_a_m, no_evident_not_the_staff_did_not_accommodate_my_arrival_at_3_a_m, the_staff_provided_very_clear_instructions, no_evident_not_the_staff_did_not_provide_very_clear_instructions"
190,good_check_in,"late, no_evident_not_late, worked_well, no_evident_not_worked_well"
214,good_check_in,"arrived_late, no_evident_not_arrived_late, made_sure, no_evident_not_made_sure"
220,good_check_in,"good, process, no_evident_not_good, no_evident_not_process"
221,good_check_in,"owner_was_aware_from_tracking, no_evident_not_owner_was_aware_of_our_arrival_status, owner_knew_about_the_delay_due_to_flight_issues, no_evident_not_owner_knew_about_the_delay"
227,good_check_in,"kind_hosts_made_late_check_in_simple, no_evident_not_kind_hosts_made_late_check_in_simple"
232,good_check_in,"late_arrival, no_evident_not_being_late, got_great_instructions, no_evident_not_getting_good_instructions"
276,good_check_in,"no_evident_not_friendly_staff, no_evident_not_allow_you_to_check_in_the_early_hours"
283,good_check_in,"arrived_late, no_problem, no_evident_not_arrived_late, no_evident_not_no_problem"
314,good_check_in,"check_in, checkout, no_evident_not_check_in, no_evident_not_checkout"
365,good_check_in,"night, no_evident_not_night, quickly, no_evident_not_quickly, this_format_ensures_each_support_is_paired_with_its_contrary, using_the_original_words_without_adding_synonyms_or_further_opinions"
394,good_check_in,"quick, no_evident_not_quick, easy, no_evident_not_easy, this_format_adheres_to_all_specified_conditions, ensuring_clarity_and_logical_structure_without_including_any_additional_assumptions_or_claims"
399,good_check_in,"room_is_clean, no_evident_not_room_is_clean, room_is_ready, no_evident_not_room_is_ready, check_in_time_is_at_12, no_evident_not_check_in_time_is_at_12"
452,good_check_in,"check_in_is_easy, no_evident_not_check_in_is_easy"
453,bad_check_in,"waited_10_minutes_for_someone_to_come_greet_us_for_check_in, no_one_on_desk, have_evident_expected_someone_to_come_but_none_arrived, guy_on_desk_told_us_we_had_not_paid_but_we_did, have_evident_accused_of_not_paying_when_payment_was_made, took_a_picture_of_my_passport_which_no_hotel_does_at_all_which_was_very_strange, have_evident_hotel_wouldn_t_take_pictures_of_passports_so_this_action_is_unusual"
513,good_check_in,"we_arrived_late, no_evident_not_we_arrived_late, the_directions_were_clear_and_easy, no_evident_not_the_directions_were_clear_and_easy"
515,good_check_in,"thanks_moved_in_early, no_evident_not_moved_in_early, this_response_adheres_to_all_specified_conditions, ensuring_clarity_and_conciseness_while_maintaining_grammatical_accuracy"
538,good_check_in,"arrived_at_night, no_evident_not_arrived_at_night, entered_via_self_check_in, no_evident_not_entered_via_self_check_in, no_problems, no_evident_not_no_problems"
546,good_check_in,"purely, check_in_after_12_at_night, no_evident_not_purely, no_evident_not_check_in_after_12_at_night"
564,good_check_in,"after, no_evident_not_after, midnight, no_evident_not_midnight"
578,good_check_in,"the_process_of_self_check_in_at_night_exists, no_evident_not_there_is_no_evident_not_process_involved_in_self_check_in_at_night, self_check_in_at_night_is_very_easy_to_perform, no_evident_not_there_is_no_evident_difficulty_in_performing_self_check_in_at_night"
589,good_check_in,"clear, no_evident_not_clear"
606,good_check_in,"flight_was_delayed, they_took_care_of_us_both_for_late_check_in, no_evident_not_flight_was_delayed, no_evident_not_they_took_care_of_us_both_for_late_check_in"
614,good_check_in,"friendly_staff, no_evident_not_friendly_staff, communication_with_the_hotel_before_our_arrival_was_smooth, no_evident_not_communication_with_the_hotel_before_our_arrival_was_smooth"
633,good_check_in,"arrived_at_3_a_m, they_waited_for_us, no_evident_not_arrived_at_3_a_m, no_evident_not_they_waited_for_us"
639,good_check_in,"earlier_check_in, no_evident_not_earlier_check_in, earlier_check_out, no_evident_not_earlier_check_out, no_problem_with_later_check_in, no_evident_not_later_check_in"
660,good_check_in,"the_hotel_allowed_us_a_late_arrival, no_evident_not_allowing_a_late_arrival, the_hotel_allowed_us_a_late_departure, no_evident_not_allowing_a_late_departure, the_hotel_provided_a_late_departure_at_1_30_p_m, no_evident_not_providing_a_late_departure_at_1_30_p_m"
775,good_check_in,"perfect_welcome_because_the_text_states_it_s_a_perfect_welcome, arriving_at_4am_since_arriving_early_is_mentioned_in_the_text, no_evident_not_perfect_welcome_opposite_of_the_support_perfect_welcome, no_evident_not_arriving_at_4am_opposite_of_the_support_arriving_at_4am"
778,good_check_in,"check_in_at_1_30_in_the_morning, perfect_welcome, no_evident_not_check_in_at_1_30_in_the_morning, no_evident_not_perfect_welcome, this_format_adheres_to_all_specified_conditions, ensuring_each_support_is_paired_with_its_contrary"
779,good_check_in,"assumption_check_in_good, early_in_the_morning_from_at_4am, no_evident_not_early_in_the_morning, this_argument_highlights_that_checking_in_at_4am_is_considered_good_because_it_represents_an_early_morning_time, which_may_offer_a_quiet_and_uninterrupted_environment_the_contrary_suggests_that_if_it_s_not_early_in_the_morning, then_check_in_might_be_less_preferable_for_similar_reasons"
